monat;umsatz_glitzerwald_netto_eur;umsatz_messen_netto_eur;umsatz_eigener_webshop_netto_eur;umsatz_gesamt_netto_eur;auftragseingang_anzahl;leads_anzahl;abonnenten_glitzerwald_stand_monatsende;impressions_glitzerwald_mio
2025-03;41200;8740;12350;62290;73;341;82914;3.41
2025-04;38400;6210;11800;56410;69;312;83447;3.22
2025-05;42100;15420;13200;70720;81;367;84120;3.78
2025-06;39800;9210;12900;61910;74;344;84992;3.51
2025-07;33600;5200;11200;50000;58;267;85410;3.12
2025-08;31200;3400;9800;44400;52;231;85702;2.88
2025-09;37200;7400;11700;56300;67;312;86041;3.27
2025-10;40800;9120;12700;62620;72;342;86388;3.49
2025-11;44200;6800;13900;64900;79;391;86714;3.66
2025-12;48700;0;15800;64500;85;418;86981;3.74
2026-01;36100;4200;10900;51200;64;291;87102;2.96
2026-02;39400;8300;11800;59500;71;334;87291;3.18
2026-03;14900;4100;5800;24800;26;111;87412 -> gesperrt;1.07 bis Sperre
2026-04;0;7400;3900;11300;9;41;0 (account weg);0
